movie_A,movie_B,target
962697,496212,0
101,18,1
135397,87101,1
519182,748783,1
872585,792307,1
273481,400535,1
77338,80278,1
27205,37724,1
497698,242582,0
9360,9825,1
644124,127913,0
102382,277,0
16869,273248,1
36670,658,1
138843,91586,1
2928,979924,0
8274,2069,0
700,698,1
123362,174682,0
13448,591,1
564,1734,1
62,4437,1
36643,698,1
1010581,1156593,1
68718,37724,1
83533,11324,1
53957,396371,0
35,9408,1
604079,1010756,1
653346,61791,1
1893,1894,1
33436,352161,0
533535,383498,1
508965,611207,1
823219,1064486,1
429742,968,0
11545,26388,0
767,12445,1
673,674,1
1180831,736526,1
651610,484641,0
9273,10025,0
14582,612515,0
578,1366,1
615453,980477,1
75656,72190,1
569094,324857,1
396461,10765,0
299536,299534,1
1220564,2925,1
961484,1211957,0
272,49026,1
1726,1771,1
1087891,1127110,1
101,510,1
8321,226857,0
615457,567189,1
950396,762509,1
607,41154,1
25606,5817,0
4464,9353,0
109445,62177,1
54597,412209,0
682507,37865,0
12155,12092,1
379441,829,0
62835,8202,1
760329,1114967,1
986056,749170,1
10195,10138,1
438631,550988,1
9714,771,1
1011477,1087192,1
1034541,420634,1
177572,118340,1
601,162,1
468224,37797,0
9342,1327862,0
575264,177677,1
38575,11231,1
1495,9477,1
140607,1891,1
291805,75656,1
489,9574,1
11282,280511,0
1355666,4599,0
1064213,1252309,1
755898,1311031,1
436969,550988,1
38757,2062,1
301846,9912,0
335984,374720,1
317560,287424,0
480530,480530,1
507089,1046032,1
674,767,1
385687,603692,1
4327,9471,1
13466,57834,1
840326,758323,1
49521,76163,1
234004,840326,0
893297,74078,0
207,453,1
675,12445,1
527641,439552,0
573435,799583,1
1197137,756999,1
353616,499028,0
25998,317930,0
55301,23398,1
539972,1160956,1
23570,411088,0
9806,14160,1
604,605,1
512200,353486,1
1083433,3597,1
1581,509,1
1061474,911430,1
332210,9912,0
1639,258750,0
466272,496243,1
2501,49040,1
39108,34433,1
562,1572,1
16869,307081,0
694,501170,1
1029575,695721,1
693134,438631,1
9382,94901,0
76649,20676,0
136797,258489,0
533535,1022789,1
11088,539136,0
800,5851,0
653346,823464,1
8920,9513,1
1038392,423108,1
989473,324325,0
603692,493529,1
574475,552524,1
843527,937287,1
9331,9869,1
670,4550,1
673,672,1
684684,41225,0
1232933,2926,0
21705,9389,0
348677,1850,0
335977,89,1
601666,77987,0
526896,1125257,0
140607,1895,1
552524,608398,0
704239,943134,0
1022789,653346,1
671,767,1
575265,911430,1
281338,119450,1
1079078,28571,0
792,471707,0
22,58,1
945675,9034,0
9479,3933,1
5590,10760,0
1214931,753342,1
170,1562,1
1011477,1061474,1
573435,38700,1
658,657,1
862,863,1
246196,510469,0
245842,1623,0
376290,11377,0
82684,612515,0
118665,259954,0
59,14139,0
489,598,1
653601,1480382,0
2162,504585,0
919207,9291,0
569485,9833,0
11324,77,1
448432,239573,0
36557,206647,1
585083,76492,1
73861,17609,1
84329,400547,0
610150,440597,0
12445,12444,1
562,1573,1
1087192,1100988,1
1175942,629542,1
205596,190859,1
27583,137106,0
699,700,1
9424,347881,0
1895,1894,1
272,49026,1
206647,36670,1
630,252,1
27886,414,0
129,496243,1
497,637,1
512195,370172,1
429617,324857,1
557,558,1
101,207,1
575265,177677,1
13121,982620,0
267860,117263,1
206647,657,1
661374,546554,1
11395,850,1
218,280,1
8005,842924,0
1234591,47002,0
13474,14667,0
18095,10428,0
972230,25284,0
840326,882569,1
535437,33,0
36670,698,1
8355,950,1
17111,239573,0
36670,667,1
1086747,958006,1
240,424,1
661374,877269,1
8051,519120,0
138843,259693,1
348893,38234,1
1011985,823464,1
9595,519255,0
603,605,1
1996,25073,0
575264,954,1
976573,346698,1
348,8078,1
127,11863,0
12444,675,1
47386,4985,0
812,420817,1
699,36643,1
491303,33015,0
5174,5175,1
9539,829799,0
293660,383498,1
11,140607,1
1930,558,1
1197306,668489,1
83533,597,1
660,37724,1
354912,316029,1
76494,12225,0
77338,203833,1
162,378483,0
345,3175,1
62,185,1
244517,665139,0
429351,525,0
18939,585083,0
17979,14813,1
660,658,1
8699,36648,0
257874,940721,0
8469,41343,0
487083,418399,0
12444,673,1
364,414,1
769,23631,1
939335,951491,1
20932,499722,0
346698,872585,1
469916,2239,0
199851,11035,0
42337,41280,1
156022,345887,1
467405,55301,0
272,209112,1
206647,36643,1
105,218,1
1571,2207,1
9475,37606,0
350,9880,1
3581,10661,0
335977,217,1
10719,5255,1
8060,698687,0
101,335,1
300693,605886,0
18462,39256,0
424,129,1
1585,20334,1
489,769,1
31600,843241,0
12,9806,1
19017,19158,0
1094138,2926,0
15070,1118224,0
607,608,1
659983,540901,0
954,956,1
559401,38579,0
575265,575264,1
14147,82023,0
673,12444,1
916719,7461,0
1022789,1022789,1
11324,1124,1
199373,11862,0
75656,291805,1
12227,45139,0
1635,9426,0
102651,420809,1
6418,56149,1
812,10144,1
12153,9757,1
2612,37834,0
11932,10585,1
9791,522162,0
106646,1422,1
279,9339,0
2109,5175,1
474350,567609,1
10598,644089,0
287524,458,0
1382406,1151334,1
117251,10943,0
209189,27579,0
949,117,1
425,950,1
1111873,799583,1
662546,43194,0
157336,286217,1
425,8355,1
425194,19724,0
1038392,1241921,1
1261825,268,1
238,240,1
4421,1720,0
447365,118340,1
49013,10193,1
945961,1147400,1
1029575,848326,1
10806,500904,0
109410,444539,0
270946,228161,1
5825,13377,1
937941,872585,1
18785,45243,1
1241470,249260,1
350,11631,1
13252,823219,0
9604,38568,0
286217,281957,1
283995,263115,1
245917,19585,0
1979,1300116,0
671,767,1
426272,454467,0
1365,24188,0
1618,425274,0
872585,346698,1
25475,75258,1
42337,102001,1
673737,1032823,0
572154,25389,0
29917,100898,0
573435,718821,1
12504,532067,0
35,11836,1
749170,400728,1
558449,1156593,1
25538,20504,0
41280,20760,0
339846,25741,0
29455,159770,0
9778,3034,0
8069,3597,0
10474,27945,0
8871,2123,1
10196,17903,0
36557,36670,1
9595,965150,0
744,7520,1
419680,431530,1
37708,22356,0
5204,28942,0
37724,698,1
25562,592350,0
207,37165,1
2330,2334,1
36643,657,1
258086,636891,0
316042,43074,0
574475,9286,1
27022,19371,0
62,345,1
141733,7735,0
10437,11176,1
40423,11653,0
13189,25842,1
286217,102899,1
1397832,180147,0
496527,42589,0
13186,9902,1
114150,254470,1
1087891,1249213,1
285,58,1
10191,82702,1
950387,574475,1
613348,39538,0
1035259,836225,0
132,462,0
524047,577922,1
10193,301528,1
10328,418718,0
699,710,1
49026,1771,1
14784,43436,0
822119,986056,1
8355,950,1
280,290859,1
138103,27578,1
748230,12717,0
546554,492188,1
1263256,9614,1
24,273248,1
9532,9358,1
209112,271110,1
30707,175116,0
321612,295693,1
1230368,597,1
18828,21422,0
313,45132,0
14160,150540,1
238,242,1
766507,629176,1
2493,4951,1
748783,1093995,1
430474,10169,0
1234821,351286,1
294254,336843,1
23483,19908,1
1726,68721,1
15741,17431,0
11808,1039868,0
7485,13121,1
1233413,1241436,1
624808,2300,0
17899,892,0
578,346364,1
393,24,1
777245,453350,0
616037,718930,1
45712,435366,0
49026,155,1
1220564,597,1
575265,56292,1
53344,540,0
2493,762,1
33623,908762,0
17030,19672,0
18823,502033,0
14160,10193,1
152584,10336,0
854359,4520,0
381353,303991,0
10070,62213,0
206647,710,1
157336,210577,1
438148,276902,0
846422,661914,0
17903,11011,0
12505,718032,0
62580,311667,0
447365,569094,1
1232449,104634,1
361743,507086,1
181808,1893,1
14317,851644,0
80038,631939,0
537915,613504,1
285,22,1
152760,137106,1
496243,530915,1
16219,13041,0
11395,9021,1
11208,425,0
81188,82690,1
803796,1022787,1
2075,674,0
216015,337167,1
345,935,1
24,414419,1
872585,466420,1
333484,9012,0
206647,698,1
105,165,1
581528,375809,0
524780,105864,0
286217,206647,1
9574,445571,0
2493,583,1
285841,48844,0
807,27205,1
829557,51482,1
575604,1136394,0
286654,10590,0
354912,399055,1
10681,14160,1
675445,893723,1
10681,2062,1
27576,602269,0
321612,263115,1
37724,658,1
786892,614933,1
670,975,1
562,847,1
312221,480530,1
869,2668,1
177572,228326,1
1376434,1233413,1
507089,939335,1
1693,32077,0
10007,51357,0
3021,470819,0
23483,7446,1
299534,287947,1
25475,297270,1
547009,1000837,0
1636,431259,0
2978,967847,1
1022789,533535,1
17360,266,0
244786,423,1
14566,26466,0
568124,425909,1
1078605,1038392,1
184341,507241,0
370172,36669,1
494493,582913,0
564,1735,1
25898,608649,0
471429,279968,0
1242011,1078605,1
14399,2048,0
850356,477033,0
943930,264401,0
615457,359364,0
438631,693134,1
38234,15255,1
10138,10412,0
881,37233,1
278154,774825,1
9343,50374,0
1067820,602147,0
6620,1246049,0
197,2024,1
17362,19728,0
8587,862,1
603,11452,1
554908,1361292,0
73861,5336,1
278,238,1
20115,567189,0
38234,15070,1
20352,68728,1
335977,87,1
14399,75802,0
35712,419635,0
29455,17182,0
58,10764,1
283995,297762,1
1156593,1255788,1
1124566,5922,0
157350,222935,1
845781,762509,1
9308,4513,0
1155828,12525,0
986056,575265,1
1086260,226936,0
339984,921452,0
30547,10137,0
911430,1151334,1
360814,5123,0
700,667,1
510,10326,0
19490,52067,0
338967,724209,0
293660,271110,1
13459,12888,0
440444,643586,0
205321,939979,0
163907,1144911,0
466703,87567,0
586461,22787,0
11908,20526,0
1284120,1001414,1
11224,964980,0
640,1907,1
14148,6145,0
1410082,58767,1
297762,283995,1
12445,675,1
159824,228161,1
6114,243683,0
943,70670,0
348,8077,1
290098,670,1
652483,1022787,0
162,3933,1
840430,792307,1
474350,489982,0
150897,335977,0
857,11324,1
1016084,68735,0
83533,19995,1
436969,451048,1
624860,605,1
19995,68721,1
299534,299537,1
9441,20676,0
205596,194662,1
19959,9665,1
1456349,1356670,1
12153,11852,1
37724,36643,1
393,414419,1
1011985,359410,1
660,36670,1
50838,23128,0
206647,658,1
23943,9032,0
1825,591,0
1225377,31451,0
10710,206487,0
550,807,1
244786,242582,1
14864,13249,0
1151031,1078605,1
664236,449749,0
16577,776909,0
658,36643,1
557,559,1
808,425,1
281338,61791,1
557,559,1
1138194,1106739,1
706503,718838,0
436387,28597,0
10208,10874,1
475557,889737,1
11411,1419406,0
4108,9335,1
83533,37165,1
457915,1010823,0
379862,520318,0
37724,667,1
14857,18862,0
578,840,1
16723,445571,0
1357633,845781,1
10152,9360,0
489,37165,1
80184,3036,0
530385,595867,0
91314,1858,1
121,122,1
11316,50546,0
2501,2502,1
1161617,1245993,1
287903,9656,1
36557,36669,1
15256,820912,0
47518,602223,0
639988,59143,1
556803,774741,0
13207,5145,0
917496,4011,1
196,165,1
419680,274167,1
4348,11036,1
13511,5511,0
122,562,1
652,215379,0
121,672,1
767499,361745,0
429,391,1
408873,58428,0
976573,832502,1
37247,11979,0
9659,8810,1
4247,4256,1
122,121,1
24675,172847,0
11968,19585,0
11828,13090,0
1735,571650,0
62211,93456,1
21407,642121,0
423108,259693,1
667,36643,1
332704,43919,0
921636,14191,0
269149,26372,0
49051,47964,1
429617,315635,1
1097549,1000837,1
9647,40820,1
1126166,762509,1
14534,46878,0
840326,1098110,1
282983,34813,0
106,169,1
440,395,1
177677,795853,0
967941,402431,1
333339,8848,0
196,165,1
1051896,1102493,0
760329,1236470,1
11006,8009,0
40815,114606,0
762509,1126166,1
22744,2675,0
1061474,575265,1
36679,6593,1
25793,118,0
49521,54138,1
19169,7857,0
107,13809,1
80,696506,0
482981,446021,0
559907,172226,0
1100782,882598,1
40461,2176,0
535,293167,0
501929,1954,0
21385,995,0
1022789,150540,1
1124,11324,1
372058,568160,1
10222,259694,0
398181,468224,0
8355,57800,1
1022787,936108,1
54557,574060,0
426063,974950,1
1163258,15767,0
1242419,533533,1
330457,512200,1
76341,38142,0
1151031,1239655,1
863,9487,1
9806,260513,1
637649,503736,1
61752,421447,0
440918,642,0
39254,49529,1
337167,216015,1
9714,12536,1
10193,49013,1
1084736,956842,1
400106,86467,0
137,8467,1
2501,2503,1
9349,467239,0
705861,119892,0
122,120,1
26123,10445,0
42296,198184,0
505642,315162,1
14161,70981,1
37696,10216,0
73454,894205,0
744,38199,1
169,440,1
803796,1311031,1
288737,13002,0
456048,1040148,0
242,10264,1
345,600,1
370172,36670,1
10437,14900,1
454433,870360,0
1214931,946706,1
36670,700,1
122917,49051,1
1803,8645,0
205596,266856,1
137,2609,1
1038392,1311031,1
613504,820525,1
36669,658,1
476968,399248,0
42536,10832,0
829557,829560,1
400155,76492,1
6977,115,1
373571,399566,1
1126166,1084199,1
10764,36669,1
325346,845111,0
87101,290859,1
1226406,19583,1
845781,1005331,1
429617,420818,1
652,161,1
94365,25205,0
1242898,766507,1
41054,9417,0
50725,214,0
701387,1069905,1
511322,10629,0
351901,11618,0
547017,4909,0
765245,29355,0
402431,1241982,1
1250,695089,0
116149,346648,1
1156594,1156593,1
315162,505642,1
8587,953,1
346910,395,1
897160,635731,0
62835,49849,1
575265,541671,1
34851,37686,1
10764,370172,1
1991,420818,0
460048,515816,0
157350,262500,1
10195,76338,1
9502,1734,1
240,242,1
43947,357096,1
772,12155,1
1894,62214,0
546554,582014,1
13187,458594,0
261860,381356,0
475557,530915,1
810,10192,1
1100988,911430,1
10191,425,1
10681,10193,1
693158,1407861,0
159824,400155,1
549053,556678,1
150689,11224,1
433471,745881,0
336199,86467,0
558449,1106739,1
10764,660,1
22881,765869,0
109445,101299,1
878,551332,0
13190,11528,0
12783,438396,0
541671,1234821,1
1261825,264660,1
392044,945729,1
52109,841,0
10195,1771,1
1008409,9077,0
8274,7007,0
1311031,755898,1
8355,774825,1
152760,97020,1
823219,28117,0
21291,712,0
146216,39514,1
155,272,1
2288,45569,0
507086,361743,1
544510,10169,0
285,166426,1
13683,257094,0
675,767,1
70160,131634,1
272,364,1
105,196,1
10159,254320,0
767,12445,1
309809,19995,0
10139,18305,0
9796,9600,0
1239655,10845,0
160068,1098110,0
8844,11890,0
1161617,1422096,1
110,13767,0
1010756,13105,0
612515,63197,0
574475,720321,0
335984,284053,1
4347,594,0
308504,864101,0
127585,320288,1
37135,15657,1
939243,454626,1
1571,277,1
470,39451,0
575265,353081,1
68555,554600,0
246655,320288,1
699,658,1
101,807,1
9411,210769,0
98,218,1
359410,856289,1
1356039,42302,0
9382,595586,0
20352,93456,1
102382,558,1
10138,68721,1
209112,49521,1
519182,1022789,1
359410,1022690,1
9928,9836,1
582186,51043,0
155,550,1
505642,640146,1
1329336,157433,0
19912,55779,1
27886,489245,0
862,301528,1
1562,7520,0
238636,352161,0
1181540,17796,1
36557,370172,1
11836,228165,1
807,77,1
429617,299534,1
209403,11148,0
624779,268,0
10862,39074,0
1049,919207,0
41817,1574,0
559,1930,1
35019,11283,1
694,62,1
11003,380808,0
519182,573435,1
155,49026,1
617126,1061474,1
833,38366,0
353081,956,1
463257,11679,0
1242898,106,1
606679,970347,0
19912,9286,1
1007734,1078605,1
508,9801,1
325789,344120,0
879538,216282,0
9713,45649,0
33623,248611,0
296096,249164,1
412202,40842,0
1103621,8424,0
429617,301528,1
8880,40925,0
459947,14215,0
1930,27205,1
10410,9982,0
691683,355506,0
111,6075,1
87101,296,1
603,120,1
1046090,9618,0
53220,13741,0
9552,11026,1
1216452,471968,0
23823,125509,1
36670,36669,1
2978,43074,1
33613,46169,0
799876,1832,0
36643,710,1
299534,447404,1
2118,1542,1
131631,101299,1
1328803,334532,1
49051,57158,1
425,278154,1
244264,1137205,0
13041,579583,0
10390,118412,0
11527,1255,0
767,675,1
109445,38757,1
571384,2698,0
156022,198663,1
466272,398978,1
102382,1930,1
1019939,54557,0
77805,3061,0
381341,74,0
675,12444,1
10999,341013,0
675,674,1
370172,699,1
520679,5915,0
11,1892,1
10191,585,1
46838,146233,0
688,1145725,0
1156593,10981,0
346651,6916,0
630,10895,1
1271,53182,1
10191,166428,1
346910,463272,1
945961,698687,1
13850,1161617,0
425274,527774,1
1151031,1285965,1
135397,329,1
1154215,347881,0
13,197,1
1172648,9829,0
24428,68721,1
615457,1007734,1
552524,1263256,1
112454,4379,0
1138194,1038263,1
453395,117,1
28460,193893,0
21867,103686,0
1366,1246,1
38365,109418,1
1083658,408873,0
1966,3480,0
15121,433,1
169,395,1
61991,173185,0
280,861,1
667,698,1
22,12,1
653346,786892,1
49521,209112,1
36691,14560,0
9340,34584,1
520016,18763,0
27205,11324,1
840430,976893,1
653346,119450,1
865559,724495,0
6977,7345,1
296271,89,0
10138,1771,1
341013,60935,0
503616,964426,0
1062722,14168,1
85,87,1
5718,754934,0
278,424,1
138843,49018,1
426,852096,0
40720,23382,0
863873,9777,0
674,675,1
83186,1251717,0
660,667,1
767,12444,1
411,2454,1
36670,714,1
222230,24122,0
18239,24021,1
396535,747,1
322518,329,0
159824,585083,1
486070,243531,0
7451,855,1
46837,829038,0
84178,441,0
691,124157,0
57276,2332,0
84404,227306,0
39103,39107,1
198663,157350,1
259693,9922,0
291805,68735,1
79070,483184,0
2039,18722,0
62213,14765,0
218,87101,1
77,4978,0
562,1572,1
9806,260513,1
1134055,423204,0
1029575,798021,1
11968,843617,0
575264,353081,1
278925,9377,0
809,810,1
174682,21039,0
565770,475094,0
29056,1023922,0
13201,840430,0
843527,1143319,1
568124,585083,1
41759,253849,0
73861,12225,0
86835,25988,0
786892,1029955,1
9928,12222,1
253235,348296,0
324670,1291608,0
899112,877703,1
135397,76341,1
604,624860,1
19912,9358,1
20096,2239,0
11,140607,1
242828,23397,0
346401,46992,0
68721,75612,1
297,28460,0
206647,700,1
348,679,1
642684,256030,0
628866,1825,0
39107,34433,1
1242898,169,1
1007734,1175942,1
332,251,0
218,534,1
369972,14629,0
38579,1045944,0
667538,346698,1
640,594,1
22536,16281,0
672,12445,1
15121,13382,1
122,13,1
244786,210577,1
83533,157336,1
109451,22794,1
10126,285812,0
438631,370172,1
9946,25476,0
2062,10681,1
50620,18239,1
15192,793723,0
793723,39857,0
575265,955,1
27374,504982,0
8984,9785,0
524047,602211,1
574475,1087192,1
36670,710,1
522938,522938,1
766507,755566,1
1078605,1151031,1
447365,298618,1
186935,850165,0
447365,640146,1
1017163,619803,1
159824,76492,1
1205515,317744,0
653346,929590,1
932430,53064,0
68721,24428,1
623,14709,0
5255,8358,1
2014,43919,0
835551,890656,0
156022,345887,1
1019404,329815,0
1072371,1072876,0
10881,734353,0
28178,14306,1
270946,10527,1
9080,115290,0
327833,653746,0
514847,423204,0
912649,558449,1
36557,658,1
1119878,1011477,1
843527,574451,1
38810,9452,0
19724,10806,0
45243,109439,1
298,163,1
604685,449443,1
5038,418718,0
575264,353081,1
820067,214210,0
150540,1022789,1
575265,956,1
673,12445,1
400160,228165,1
8088,253626,0
1366,1371,1
396461,20115,0
181812,1895,1
270938,31676,0
1865,41154,1
285,50270,0
76025,190853,0
1151031,1100988,1
367462,10116,0
786892,76341,1
1054867,1480382,1
381283,10427,0
400547,23273,0
492565,11521,0
950387,1045938,1
1573,581,1
155,122,1
157350,262504,1
739993,446170,0
166428,82702,1
8643,42739,0
37165,38,1
1011985,634492,1
1100988,1562,1
10159,976293,0
949,8068,1
9096,811941,0
1280450,14979,1
120,121,1
657,710,1
109689,637693,0
472815,658905,0
414906,508947,1
332562,356486,0
297762,315635,1
976573,1076364,1
1114513,814889,1
158015,238636,1
418399,872177,0
38171,31947,0
320288,567965,0
425,1700,0
559,102382,1
620,967847,1
1064307,1093237,1
27104,877269,0
12149,1355666,0
866398,933131,1
949,524,1
1290159,549509,1
766507,169,1
923597,864116,0
940551,1022796,1
216015,341174,1
416153,1282138,0
1147400,860867,1
1017163,955555,1
1056360,504562,0
52451,9885,0
912480,24274,0
10510,11395,1
346364,381283,1
39105,463906,0
109439,48131,0
83533,376660,1
6477,55301,1
209112,246655,1
9784,13285,0
1239655,4441,0
912649,1100782,1
733317,10222,0
11223,437375,0
169,34851,1
9806,920,1
11444,48254,0
214597,829799,0
1241983,1062722,1
893086,12086,0
373571,124905,1
1018,13836,0
8914,10047,0
601796,409520,0
808,810,1
13252,9796,0
10764,700,1
807,550,1
86597,266040,0
425274,291805,1
8871,13377,1
381518,323435,0
38,194,1
660,714,1
403,487083,0
396535,581392,1
18882,2157,0
10357,14128,0
872585,670292,1
13818,540901,0
83686,41662,0
770724,491926,0
615173,530254,1
23823,9902,1
13186,125509,1
1151334,59457,0
36669,700,1
8009,313297,0
1233413,1376434,1
1011477,1071585,1
370172,36643,1
502356,640146,1
52850,72560,0
1130276,1134055,1
20766,380,1
50620,24021,1
19995,76600,1
332721,635918,0
13466,11239,1
675054,9453,0
11592,447665,0
119450,61791,1
863,9806,1
286554,76600,0
168259,337339,1
552524,575265,1
658,700,1
6593,500916,0
103,769,1
369202,486589,0
116149,516729,1
523536,582570,0
22843,11967,0
227700,9289,0
912649,335983,1
37724,714,1
520172,10056,0
36557,10764,1
155,272,1
28211,598387,0
348893,39102,1
333339,427641,1
15775,567646,0
27526,4836,0
1885,11231,1
134375,654974,1
29917,11088,0
24428,299536,1
85,335977,1
701387,842924,1
926676,2048,0
1022789,150540,1
267860,146198,1
769,2291,1
1261825,297222,1
290859,114958,0
433,603519,0
9725,204342,0
767,673,1
512195,580489,1
1422096,1242419,1
5825,11418,1
1064213,1013850,1
8355,278154,1
287,624860,0
823464,940721,1
950387,1197306,1
22536,502682,0
56020,585759,0
454549,585744,0
385687,713704,1
653349,1369,0
640146,7508,0
23273,4283,0
562,1573,1
1061474,617126,1
680813,2899,0
636698,134375,0
32458,37327,0
496243,515001,1
76341,286217,1
1246,1371,1
755898,1234821,1
744275,50838,0
1223601,1154215,0
1417,26391,0
1086260,1319965,1
4232,646385,1
370172,710,1
512195,524434,1
98,603,1
228150,190859,1
845781,1097870,1
238,240,1
675,672,1
244786,73,1
395763,40451,0
939243,1241982,1
1426776,1127110,1
8584,11062,0
489170,1965,0
13675,225565,0
840430,466420,1
1084066,502143,0
1184918,823219,1
297762,141052,1
240,129,1
6499,983044,0
9958,14943,0
541671,1405338,0
821881,19344,0
1865,285,1
13448,1329336,0
372058,198375,1
36557,657,1
100042,24099,0
297160,48034,0
660,699,1
8555,381890,0
299054,27578,1
575264,955,1
460648,30923,0
373571,320288,1
411,2454,1
1726,10138,1
1908,332411,0
1242011,1083433,1
744746,2756,0
8966,18239,1
10307,634492,0
12253,38050,0
12437,434552,0
1175942,1064307,1
10327,13633,0
14299,11938,0
562,1571,1
1011477,1287536,1
449443,15237,0
15007,63197,0
323370,41387,0
1114513,833339,1
970450,82474,0
1571,1573,1
628900,6637,0
38223,381353,0
65086,2502,0
11302,660000,0
101299,131634,1
7451,47971,1
603,604,1
68721,54138,1
77496,9880,0
574475,19912,1
24402,24402,1
336455,31414,0
974635,786892,1
1114513,889737,1
548755,57089,0
260514,127380,1
980477,615453,1
10974,1979,0
42589,7281,0
519182,533535,1
328901,8767,0
48303,714099,0
44945,210860,0
2469,1909,0
1363123,1029575,1
550,13,1
106646,64682,1
507244,1257009,1
1097549,426063,1
772,771,1
419680,274167,1
23367,864873,0
615453,663558,1
105,196,1
1086260,1373445,1
637649,337404,1
534,296,1
751237,444539,0
49126,1181540,0
17979,13189,1
129,372058,1
107,497,1
9455,238713,0
674,12444,1
424,389,1
457837,36096,0
36557,206647,1
1371,1374,1
807,629,1
157350,101299,1
25562,16409,0
298312,11077,0
558449,912649,1
411,9053,0
38961,8009,0
5825,11153,1
1230368,617126,1
9479,585,1
956262,276488,0
12535,974950,0
1986,10139,0
392,12225,0
364,268,1
808,809,1
36557,36669,1
270946,293299,1
1585,16164,0
11850,31947,0
5825,11153,1
20352,82690,1
602223,9777,0
590869,17917,0
315162,417859,1
8456,123362,0
497,13,1
353081,955,1
299536,99861,1
23527,359724,0
660,206647,1
84404,18701,0
19761,82679,0
1946,22907,0
911430,1007734,1
1352755,1251717,1
1044741,302699,0
559,558,1
6418,236028,1
315162,76600,1
11,181808,1
290098,4550,1
37724,700,1
1010581,1156594,1
1011477,1885,1
76600,661374,1
360920,51052,1
289151,471853,0
315635,283995,1
472838,107257,0
700391,948713,1
31977,618363,0
549053,563710,1
767825,504631,0
3112,530154,0
502356,594767,1
1241921,1010756,1
26173,77878,0
266040,19908,0
44268,897424,0
26655,254473,0
674,675,1
38327,19265,0
597,297761,1
8066,846961,0
2978,425909,1
38365,10202,1
953,80321,1
896536,641,0
73861,37169,1
343611,75780,1
611207,582014,0
11836,400160,1
1965,512200,0
2282,1970,0
324857,569094,1
899112,653851,1
28460,541560,0
18785,12133,1
347754,623135,0
11036,84892,1
10162,39468,0
